,start,end,duration,Keywords,Monkeys,date
0,2019-10-28 09:43:17,2019-10-28 09:49:58,401.0,"Next to, go through, go over, sit middle, sit on edge, sit on top, Bite, grab",4.0,2019-10-28
1,2019-10-28 09:50:40,2019-10-28 09:51:47,67.0,"Sit on top, grab, bite",2.0,2019-10-28
2,2019-10-28 09:52:25,2019-10-28 09:56:36,251.0,"sit on top, sit on edge, go through, bite, grab, look through",2.0,2019-10-28
3,2019-10-28 09:57:00,2019-10-28 09:57:47,47.0,"sit on edge, grab, bite, go over, look through",2.0,2019-10-28
4,2019-10-28 09:57:50,2019-10-28 10:01:00,190.0,"sit on top, sit on edge, grab, bite, next to",3.0,2019-10-28
5,2019-10-28 10:02:51,2019-10-28 10:03:20,29.0,"sit on edge, sit on top, grab",1.0,2019-10-28
6,2019-10-28 10:03:50,2019-10-28 10:04:13,23.0,"next to, grab",1.0,2019-10-28
7,2019-10-28 10:23:46,2019-10-28 10:23:57,11.0,on top,1.0,2019-10-28
8,2019-10-28 10:24:03,2019-10-28 10:24:11,8.0,next to,1.0,2019-10-28
9,2019-10-28 10:24:45,2019-10-28 10:24:54,9.0,go over,1.0,2019-10-28
10,2019-10-28 10:28:12,2019-10-28 10:28:14,2.0,go over,1.0,2019-10-28
11,2019-10-28 10:28:44,2019-10-28 10:28:54,10.0,sit on top,1.0,2019-10-28
12,2019-10-28 10:31:30,2019-10-28 10:31:44,14.0,"next to, grab",1.0,2019-10-28
13,2019-10-28 10:33:00,2019-10-28 10:33:01,1.0,go over,1.0,2019-10-28
14,2019-10-28 10:36:05,2019-10-28 10:36:16,11.0,"next to, grab",1.0,2019-10-28
15,2019-10-28 11:28:55,2019-10-28 11:29:19,24.0,sit on top,1.0,2019-10-28
16,2019-10-28 11:29:32,2019-10-28 11:29:37,5.0,"next to, grab",1.0,2019-10-28
17,2019-10-28 11:33:58,2019-10-28 11:34:53,55.0,"sit on top, food",1.0,2019-10-28
18,2019-10-28 11:35:16,2019-10-28 11:35:30,14.0,"sit on top, food, shoo",2.0,2019-10-28
19,2019-10-28 11:36:43,2019-10-28 11:36:57,14.0,sit on top,1.0,2019-10-28
20,2019-10-28 11:42:00,2019-10-28 11:42:58,58.0,sit on top,1.0,2019-10-28
21,2019-10-28 11:43:44,2019-10-28 11:43:50,6.0,"next to, grab, sit on top",1.0,2019-10-28
22,2019-10-28 11:44:54,2019-10-28 11:44:59,5.0,go over,1.0,2019-10-28
23,2019-10-28 11:46:30,2019-10-28 11:47:09,39.0,"next to, grab, sit on top",1.0,2019-10-28
24,2019-10-28 11:48:16,2019-10-28 11:48:30,14.0,"next to, grab, go over",1.0,2019-10-28
25,2019-10-28 11:49:13,2019-10-28 11:49:27,14.0,sit on top,1.0,2019-10-28
26,2019-10-28 11:54:05,2019-10-28 11:55:40,95.0,sit on top,1.0,2019-10-28
27,2019-10-28 11:55:49,2019-10-28 11:55:54,5.0,go over,1.0,2019-10-28
28,2019-10-28 12:01:58,2019-10-28 12:02:13,15.0,sit on top,1.0,2019-10-28
29,2019-10-28 12:09:00,2019-10-28 12:09:36,36.0,"next to, grab, bite",1.0,2019-10-28
30,2019-10-28 12:13:19,2019-10-28 12:13:27,8.0,"on top, shoo",2.0,2019-10-28
31,2019-10-28 12:16:45,2019-10-28 12:17:07,22.0,"go through, sit on edge, grab, sit on top",1.0,2019-10-28
32,2019-10-28 12:18:16,2019-10-28 12:18:20,4.0,"sit on top, shoo",1.0,2019-10-28
33,2019-10-28 12:19:45,2019-10-28 12:21:29,104.0,"on top, next to, grab, go through, sit on edge, bite",1.0,2019-10-28
34,2019-10-28 12:31:57,2019-10-28 12:31:59,2.0,go over,,2019-10-28
35,2019-10-28 13:39:50,2019-10-28 13:40:08,18.0,"sit on edge, grab, next to",1.0,2019-10-28
36,2019-10-28 13:41:20,2019-10-28 13:42:10,50.0,"sit on edge, go through, grab",2.0,2019-10-28
37,2019-10-28 13:43:00,2019-10-28 13:44:00,60.0,"on top, sit on edge, bite",1.0,2019-10-28
38,2019-10-28 13:44:32,2019-10-28 13:45:25,53.0,"sit on edge, bite",1.0,2019-10-28
39,2019-10-28 13:46:00,2019-10-28 13:46:01,1.0,go over,1.0,2019-10-28
40,2019-10-28 13:49:10,2019-10-28 13:49:11,1.0,go through,1.0,2019-10-28
41,2019-10-28 13:50:00,2019-10-28 13:50:41,41.0,"sit on top, go in",2.0,2019-10-28
42,2019-10-28 14:16:37,2019-10-28 14:16:44,7.0,go over,1.0,2019-10-28
43,2019-10-28 14:29:39,2019-10-28 14:29:40,1.0,"go through, food",1.0,2019-10-28
44,2019-10-28 14:49:25,2019-10-28 14:49:26,1.0,"go through, food",1.0,2019-10-28
45,2019-10-28 14:56:20,2019-10-28 14:56:26,6.0,on top,1.0,2019-10-28
46,2019-10-28 14:56:30,2019-10-28 14:57:43,73.0,"grab, next to, sit on edge, bite, sit on top, shoo",1.0,2019-10-28
47,2019-10-28 14:57:50,2019-10-28 14:58:09,19.0,"on top, grab, next to",1.0,2019-10-28
48,2019-10-28 14:58:43,2019-10-28 14:58:46,3.0,go over,1.0,2019-10-28
49,2019-10-28 15:10:03,2019-10-28 15:10:05,2.0,go through,1.0,2019-10-28
50,2019-10-28 15:37:48,2019-10-28 15:37:49,1.0,go over,1.0,2019-10-28
51,2019-10-28 15:40:06,2019-10-28 15:40:14,8.0,"next to, grab, go through",1.0,2019-10-28
52,2019-10-28 15:44:04,2019-10-28 15:44:24,20.0,"go through, bite",1.0,2019-10-28
53,2019-10-28 15:54:35,2019-10-28 15:54:40,5.0,"next to, grab",1.0,2019-10-28
54,2019-10-28 16:09:05,2019-10-28 16:09:10,5.0,go over ,1.0,2019-10-28
55,2019-10-29 07:04:05,2019-10-29 07:04:12,7.0,go over,1.0,2019-10-29
56,2019-10-29 07:10:11,2019-10-29 07:10:23,12.0,"next to, grab",1.0,2019-10-29
57,2019-10-29 07:13:15,2019-10-29 07:13:17,2.0,go over,1.0,2019-10-29
58,2019-10-29 08:02:20,2019-10-29 08:02:23,3.0,go over,1.0,2019-10-29
59,2019-10-29 08:16:40,2019-10-29 08:16:42,2.0,go over,1.0,2019-10-29
60,2019-10-29 08:23:29,2019-10-29 08:23:33,4.0,sit on top,1.0,2019-10-29
61,2019-10-29 08:33:56,2019-10-29 08:33:57,1.0,go over,1.0,2019-10-29
62,2019-10-29 08:43:06,2019-10-29 08:43:19,13.0,"on top, next to",2.0,2019-10-29
63,2019-10-29 08:44:38,2019-10-29 08:44:41,3.0,go over,1.0,2019-10-29
64,2019-10-29 08:55:54,2019-10-29 08:56:12,18.0,on top,1.0,2019-10-29
65,2019-10-29 09:00:06,2019-10-29 09:00:07,1.0,go over,1.0,2019-10-29
66,2019-10-29 09:44:29,2019-10-29 09:44:32,3.0,go over,1.0,2019-10-29
67,2019-10-29 09:46:36,2019-10-29 09:46:38,2.0,go over,1.0,2019-10-29
68,2019-10-29 09:49:00,2019-10-29 09:49:01,1.0,go over,1.0,2019-10-29
69,2019-10-29 10:02:08,2019-10-29 10:02:11,3.0,go over,1.0,2019-10-29
70,2019-10-29 10:12:25,2019-10-29 10:13:10,45.0,"sit on edge, go through, on top",2.0,2019-10-29
71,2019-10-29 10:13:16,2019-10-29 10:13:20,4.0,"on top, go over",1.0,2019-10-29
72,2019-10-29 11:19:20,2019-10-29 11:19:36,16.0,"next to, through, sit on top",2.0,2019-10-29
73,2019-10-29 11:28:02,2019-10-29 11:28:19,17.0,sit on top,1.0,2019-10-29
74,2019-10-29 11:29:26,2019-10-29 11:29:29,3.0,go over,1.0,2019-10-29
75,2019-10-29 11:29:43,2019-10-29 11:29:48,5.0,"sit on top, food",1.0,2019-10-29
